value,percentage,datetime
66.11,0.7256064098342663,2024-01-06T16:00:00.000+01:00
112.89,0.6346056551801675,2024-01-06T17:00:00.000+01:00
134.9,0.610794168251381,2024-01-06T18:00:00.000+01:00
141.47,0.6058153477218226,2024-01-06T19:00:00.000+01:00
139.83,0.6027934646721559,2024-01-06T20:00:00.000+01:00
136.26,0.6075983233746544,2024-01-06T21:00:00.000+01:00
135.58,0.6103083502138196,2024-01-06T22:00:00.000+01:00
128.12,0.6159911534208375,2024-01-06T23:00:00.000+01:00
134.61,0.6155288307650099,2024-01-07T00:00:00.000+01:00
130.78,0.6209876543209877,2024-01-07T01:00:00.000+01:00
129.5,0.6278483467468244,2024-01-07T02:00:00.000+01:00
126.99,0.6335245697181342,2024-01-07T03:00:00.000+01:00
125.79,0.6364280293448015,2024-01-07T04:00:00.000+01:00
125.68,0.6355177993527509,2024-01-07T05:00:00.000+01:00
127.93,0.6307252378839422,2024-01-07T06:00:00.000+01:00
128.26,0.6227725176013595,2024-01-07T07:00:00.000+01:00
131.4,0.6163516112388011,2024-01-07T08:00:00.000+01:00
134.47,0.6130944239274153,2024-01-07T09:00:00.000+01:00
100.36,0.6219633118492811,2024-01-07T10:00:00.000+01:00
92.25,0.6228058331082905,2024-01-07T11:00:00.000+01:00
85.61,0.6285147933338228,2024-01-07T12:00:00.000+01:00
86.8,0.6263982102908278,2024-01-07T13:00:00.000+01:00
84.64,0.6287327291635715,2024-01-07T14:00:00.000+01:00
81.26,0.640700149806828,2024-01-07T15:00:00.000+01:00
100.59,0.626377732112834,2024-01-07T16:00:00.000+01:00
135.91,0.5962010879101597,2024-01-07T17:00:00.000+01:00
149.84,0.5883230594055519,2024-01-07T18:00:00.000+01:00
148.19,0.5886629061730356,2024-01-07T19:00:00.000+01:00
142.91,0.5871163879873464,2024-01-07T20:00:00.000+01:00
138.23,0.5904237143345292,2024-01-07T21:00:00.000+01:00
133.79,0.5947279516358464,2024-01-07T22:00:00.000+01:00
126.28,0.6009327115256496,2024-01-07T23:00:00.000+01:00
130.53,0.6001379310344828,2024-01-08T00:00:00.000+01:00
128.24,0.6037096318614067,2024-01-08T01:00:00.000+01:00
126.22,0.6075571600481348,2024-01-08T02:00:00.000+01:00
123.32,0.6101627826431151,2024-01-08T03:00:00.000+01:00
122.81,0.6102663486384416,2024-01-08T04:00:00.000+01:00
126.14,0.6057433730311179,2024-01-08T05:00:00.000+01:00
137.54,0.5932539682539683,2024-01-08T06:00:00.000+01:00
152.44,0.5784979697165193,2024-01-08T07:00:00.000+01:00
184.99,0.605750024558761,2024-01-08T08:00:00.000+01:00
179.14,0.604957449682561,2024-01-08T09:00:00.000+01:00
220.88,0.6664051893196561,2024-01-08T10:00:00.000+01:00
211.72,0.6727249618708693,2024-01-08T11:00:00.000+01:00
202.53,0.6796536796536796,2024-01-08T12:00:00.000+01:00
200.75,0.6813630655398296,2024-01-08T13:00:00.000+01:00
158.47,0.613107904205517,2024-01-08T14:00:00.000+01:00
168.75,0.6098001662270083,2024-01-08T15:00:00.000+01:00
177.66,0.6064930188099545,2024-01-08T16:00:00.000+01:00
189.17,0.6018005980785137,2024-01-08T17:00:00.000+01:00
244.85,0.6532120371358445,2024-01-08T18:00:00.000+01:00
245.37,0.6536750406265818,2024-01-08T19:00:00.000+01:00
249.46,0.6517740502691122,2024-01-08T20:00:00.000+01:00
245.05,0.654304176011962,2024-01-08T21:00:00.000+01:00
179.52,0.6086661693903845,2024-01-08T22:00:00.000+01:00
171.32,0.613390619405657,2024-01-08T23:00:00.000+01:00
135.73,0.5784359684636693,2024-01-09T00:00:00.000+01:00
138.38,0.5805017199429482,2024-01-09T01:00:00.000+01:00
137.24,0.5823397123095855,2024-01-09T02:00:00.000+01:00
136.85,0.5811780693931287,2024-01-09T03:00:00.000+01:00
134.99,0.5815025415697423,2024-01-09T04:00:00.000+01:00
135.02,0.5806063212212428,2024-01-09T05:00:00.000+01:00
140.78,0.5779857946380917,2024-01-09T06:00:00.000+01:00
144.16,0.5710663920139439,2024-01-09T07:00:00.000+01:00
185.68,0.6024072932550368,2024-01-09T08:00:00.000+01:00
181.92,0.6010506492219249,2024-01-09T09:00:00.000+01:00
218.54,0.6645381013197105,2024-01-09T10:00:00.000+01:00
214.7,0.6660049012004838,2024-01-09T11:00:00.000+01:00
213.66,0.6662924501824304,2024-01-09T12:00:00.000+01:00
212.79,0.6664891784383125,2024-01-09T13:00:00.000+01:00
163.37,0.6040896317112854,2024-01-09T14:00:00.000+01:00
173.85,0.6023908523908523,2024-01-09T15:00:00.000+01:00
186.15,0.5996327792810205,2024-01-09T16:00:00.000+01:00
